smiles,Ames Mutagenicity,group
O=[N+]([O-])c1cc(C(O)=Nc2cccc(Br)c2)cs1,1,test
O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,1,test
O=[N+]([O-])c1ccc([N+](=O)[O-])c(O)c1,1,test
O=[N+]([O-])c1ccc2cccc3c2c1CC3,1,test
Nc1ccc(C=Cc2ccc([N+](=O)[O-])cc2)cc1,1,test
O=C(Cl)c1ccccc1[N+](=O)[O-],1,test
Nc1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1,1,test
O=[N+]([O-])c1ccc(-c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1,1,test
COc1ccccc1[N+](=O)[O-],1,test
O=[N+]([O-])c1ccc2ccc3c(O)ccc4c5ccccc5c1c2c34,1,test
O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c([N+](=O)[O-])c1,1,test
O=c1oc2c([N+](=O)[O-])cccc2c2ccccc12,1,test
Cc1ccc(S(=O)(=O)OCc2ccc([N+](=O)[O-])cc2)cc1,1,test
O=C(O)c1ccc(Cl)c([N+](=O)[O-])c1,1,test
[O-][N+]([O-])=C1CCCC1,1,test
COc1ccc(N(CCCl)CCCl)c2cc([N+](=O)[O-])oc12,1,test
O=[N+]([O-])c1cc2c3c(c1)CCc1cc([N+](=O)[O-])cc(c1-3)CC2,1,test
O=[N+]([O-])c1ccc2nc3ccccc3nc2c1,1,test
CCOP(=O)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,1,test
O=c1c(=O)c2ccc([N+](=O)[O-])c3ccc4cccc1c4c32,1,test
Nc1cccc([N+](=O)[O-])c1,1,test
O=[N+]([O-])c1cccc2c(Cl)nsc12,1,test
O=[N+]([O-])c1cc([N+](=O)[O-])c2cccc3c2c1-c1ccccc1-3,1,test
O=[N+]([O-])c1ccccc1SSC(Cl)=C(Cl)Cl,1,test
CN(C)CCCN=c1c2ccccc2[nH]c2c(Cl)ccc([N+](=O)[O-])c12,1,test
O=[N+]([O-])c1ccc2c(c1)CCN2,1,test
O=[N+]([O-])c1cc(C(O)=Nc2ccccc2F)cs1,1,test
Cn1c([N+](=O)[O-])cnc1C1NC(CO)(CO)CO1,1,test
Cc1ccc([N+](=O)[O-])c([N+](=O)[O-])c1,1,test
O=C1N=C(O)CN1N=CC=Cc1ccc([N+](=O)[O-])o1,1,test
O=[N+]([O-])c1cccc2cccc([N+](=O)[O-])c12,1,test
COC(=O)C(=Cc1ccc([N+](=O)[O-])o1)[N+](=O)[O-],1,test
O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,1,test
COC(=O)C(C#N)=Cc1ccc([N+](=O)[O-])o1,1,test
O=[N+]([O-])c1ccc2c3c4c(cccc4c4ccccc4c13)C(O)C2O,1,test
O=C(O)C=Cc1cccc([N+](=O)[O-])c1,1,test
O=[N+]([O-])c1ccc(Nc2ccccc2O)c([N+](=O)[O-])c1,1,test
O=[N+]([O-])c1ccc2c(c1)c([N+](=O)[O-])cc1ccccc12,1,test
O=[N+]([O-])c1cc2cccc3c2c(c1[N+](=O)[O-])-c1ccccc1-3,1,test
C=Cc1ccc([N+](=O)[O-])cc1,1,test
N=C(O)C(=Cc1ccc([N+](=O)[O-])o1)c1ccco1,1,test
O=[N+]([O-])c1cc(C(O)=Nc2ccccc2Br)cs1,1,test
N#Cc1ccc(C=Cc2ccc([N+](=O)[O-])cc2)cc1,1,test
[N-]=[N+]=Nc1ccc(F)c([N+](=O)[O-])c1,1,test
O=[N+]([O-])c1ccc(I)c([N+](=O)[O-])c1,1,test
O=[N+]([O-])c1cc(CCl)cc([N+](=O)[O-])c1,1,test
O=[N+]([O-])c1cnc(CO)n1CCO,1,test
CC(O)=Nc1ccc(C=CC(=O)c2ccccc2)cc1,1,test
O=[N+]([O-])c1cccc2c[nH]nc12,1,test
O=[N+]([O-])c1ccc2c(c1)CCc1cc3c(cc1-2)CCCC3,1,test
O=[N+]([O-])c1cccc2cccnc12,1,test
O=[N+]([O-])c1cc2c(ccc3cc(N(CCCl)CCCl)ccc32)o1,1,test
O=[N+]([O-])c1ccc(C=Cc2ccc(Cl)cc2)cc1,1,test
Nc1ccc(Nc2ccc([N+](=O)[O-])cc2)cc1,1,test
O=[N+]([O-])c1ccc(C=NN=C(O)c2ccc(O)cc2)o1,1,test
Nc1ccc(N)c2c1C(=O)c1cccc([N+](=O)[O-])c1C2=O,1,test
O=[N+]([O-])c1ccc(-c2ccccc2[N+](=O)[O-])c([N+](=O)[O-])c1,1,test
O=[N+]([O-])c1ccc2ccc3ccc(O)c4c5ccccc5c1c2c34,1,test
O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,1,test
O=[N+]([O-])c1ccc2ccc3c([N+](=O)[O-])ccc4ccc1c2c43,1,test
O=[N+]([O-])c1ccc2ccc3c4c(cc5ccc1c2c53)C(O)C(O)C=C4,1,test
Nc1c(Cl)cc([N+](=O)[O-])cc1[N+](=O)[O-],1,test
O=[N+]([O-])c1ccc(N=Nc2ccc(N(CCO)CCO)cc2)c([N+](=O)[O-])c1,1,test
O=[N+]([O-])c1ccccc1[N+](=O)[O-],1,test
CC(=O)c1oc([N+](=O)[O-])c(-c2ccccc2)c1-c1ccccc1,1,test
O=[N+]([O-])c1ccc(Br)c([N+](=O)[O-])c1,1,test
Nc1cc([N+](=O)[O-])c(N)cc1Cl,1,test
O=[N+]([O-])c1cc2c3c(ccc4cccc(c43)CC2)c1,1,test
O=Nc1ccc2ccc3ccc([N+](=O)[O-])c4ccc1c2c34,1,test
O=C(O)C=Cc1ccc([N+](=O)[O-])o1,1,test
O=[N+]([O-])c1ccccc1SSC(F)=C(Cl)Cl,1,test
COC(O)=Nc1nc2ccc(C(=NO)c3ccc(F)cc3)cc2[nH]1,1,test
Nc1cc([N+](=O)[O-])ccc1C(=O)O,1,test
CN(C)CCCN=c1c2ccccc2[nH]c2c(F)ccc([N+](=O)[O-])c12,1,test
O=CN(O)c1ccc([N+](=O)[O-])cc1,1,test
CC(C)NCC1CCc2cc(CO)c([N+](=O)[O-])cc2N1,1,test
O=C(Nc1ccc(Cl)cc1)c1csc([N+](=O)[O-])c1,1,test
O=[N+]([O-])c1cc([N+](=O)[O-])c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2c1,1,test
CC(=O)Oc1cc([N+](=O)[O-])c2ccc3cccc4ccc1c2c43,1,test
O=Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-],1,test
Cc1ccc2c([N+](=O)[O-])cccc2c1,1,test
O=[N+]([O-])c1cccc(O)c1[N+](=O)[O-],1,test
CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,1,test
O=C1OC(=O)c2cc([N+](=O)[O-])ccc21,1,test
O=[N+]([O-])c1ccc(C=CC(O)=NN=Cc2ccc([N+](=O)[O-])o2)o1,1,test
O=[N+]([O-])c1ccc2snc(Cl)c2c1,1,test
O=[N+]([O-])c1cccc(CCl)c1,1,test
O=[N+]([O-])c1ccc2c(CCO)c[nH]c2c1,1,test
O=[N+]([O-])c1ccc2ccc3cccc([N+](=O)[O-])c3c2c1,1,test
O=[N+]([O-])c1ccc(CCl)cc1,1,test
Cc1c(C(O)=NCCO)[n+]([O-])c2ccccc2[n+]1[O-],1,test
CN(C)CCCN=c1c2ccccc2[nH]c2ccc([N+](=O)[O-])cc12,1,test
